Seconds, Temp, Condition
2.3e-05,20.875,room
10.906108,20.875,room
21.804712,20.875,room
32.738862,20.9375,room
43.636021,20.875,room
54.578471,20.875,room
65.475717,20.875,room
76.418548,20.875,room
87.316214,20.875,room
98.259224,20.875,room
109.160814,20.875,room
120.099582,20.875,room
130.996563,20.875,room
141.930522,20.875,room
152.834073,20.875,room
163.773221,20.875,room
174.676582,20.875,room
185.618693,20.875,room
196.506696,20.875,room
207.417634,20.875,room
218.331584,20.9375,room
229.230811,20.875,room
240.13486,20.875,room
251.052246,20.875,room
261.961017,20.9375,room
272.897657,20.9375,room
283.79511,20.9375,room
294.732405,20.9375,room
1.9e-05,3.1875,cold
10.903066,2.6875,cold
21.848469,2.4375,cold
32.746883,2.25,cold
43.688778,1.9375,cold
54.587067,1.75,cold
65.528322,1.9375,cold
76.427826,2.0,cold
87.370628,2.0625,cold
98.267886,2.125,cold
109.209487,2.1875,cold
120.109549,2.25,cold
131.049064,2.3125,cold
141.9481,2.375,cold
152.889067,2.4375,cold
163.787457,2.4375,cold
174.729437,2.5,cold
185.625439,2.5,cold
196.562818,2.5625,cold
207.464744,2.5625,cold
218.467286,2.625,cold
229.36756,2.625,cold
240.269159,2.6875,cold
251.207777,2.75,cold
262.105772,2.75,cold
273.048608,2.75,cold
283.944759,2.8125,cold
294.888474,2.25,cold
1.8e-05,67.1875,hot
10.903712,78.125,hot
21.823433,80.0,hot
32.726422,80.3125,hot
43.670665,80.0625,hot
54.566655,79.6875,hot
65.510682,79.375,hot
76.407514,78.3125,hot
87.349367,77.625,hot
98.269648,76.875,hot
109.188182,75.4375,hot
120.086373,74.75,hot
131.030064,74.3125,hot
141.934406,73.9375,hot
152.870527,73.5625,hot
163.77894,73.25,hot
174.707755,72.75,hot
185.606798,72.4375,hot
196.550596,71.9375,hot
207.453507,71.5625,hot
218.385787,71.0625,hot
229.295433,70.625,hot
240.231838,70.3125,hot
251.139887,69.9375,hot
262.062145,69.5625,hot
272.960397,69.125,hot
283.871021,68.625,hot
294.782666,68.5,hot
